release,distributor,seasons,adjusted_gross
'83,Reliance Entertainment,holiday season,3448423
*batteries not included,Universal Pictures,holiday season,86795885
10 Cloverfield Lane,Paramount Pictures,spring,90824577
10 Things I Hate About You,Walt Disney Studios Motion Pictures,spring,69484262
10 to Midnight,Metro-Goldwyn-Mayer (MGM),spring,21957311
"10,000 BC",Warner Bros.,spring,134593565
101 Dalmatians,Walt Disney Studios Motion Pictures,holiday season,262530313
102 Dalmatians,Walt Disney Studios Motion Pictures,holiday season,98327355
12 Mighty Orphans,Sony Pictures Entertainment (SPE),summer,4206545
12 Monkeys,Universal Pictures,holiday season,110552292
12 Strong,Warner Bros.,winter,55441852
12 Years a Slave,-,fall,49336782
13 Going on 30,Revolution Studios,spring,92715430
13 Hours,Paramount Pictures,winter,66595055
1408,-,summer,106538729
15 Minutes,New Line Cinema,spring,41730073
16 Blocks,Warner Bros.,spring,55711662
17 Again,Warner Bros.,spring,91117237
1917,Universal Pictures,holiday season,183165700
2 Fast 2 Furious,Universal Pictures,summer,209805586
2 Guns,Universal Pictures,summer,98296198
2 Hearts,Freestyle Releasing,fall,1565171
2010: The Year We Make Contact,Metro-Goldwyn-Mayer (MGM),holiday season,117332905
2012,Sony Pictures Entertainment (SPE),holiday season,230535581
2016: Obama's America,Rocky Mountain Pictures,summer,44152408
2020 Oscar Nominated Short Films,Magnolia Pictures,winter,3835668
21,Sony Pictures Entertainment (SPE),spring,115246298
21 Bridges,STX Entertainment,holiday season,33938536
21 Jump Street,Sony Pictures Entertainment (SPE),spring,182750920
22 Jump Street,Sony Pictures Entertainment (SPE),summer,245400751
27 Dresses,Twentieth Century Fox,winter,109068288
28 Days,Sony Pictures Entertainment (SPE),spring,65791763
28 Days Later,-,summer,74357109
28 Weeks Later,Fox Atomic,summer,42385595
3 Days to Kill,Relativity Media,winter,39293438
3 Ninjas,Walt Disney Studios Motion Pictures,summer,62930653
30 Days of Night,Sony Pictures Entertainment (SPE),fall,58562120
30 Minutes or Less,Sony Pictures Entertainment (SPE),summer,50393336
300,Warner Bros.,spring,311710109
300: Rise of an Empire,Warner Bros.,spring,136422465
3:10 to Yuma,Lionsgate,fall,79338235
40 Days and 40 Nights,Miramax,winter,64136889
42,Warner Bros.,spring,123526276
47 Meters Down,Entertainment Studios Motion Pictures,summer,54497844
47 Meters Down: Uncaged,Entertainment Studios Motion Pictures,summer,26490471
48 Hrs.,Paramount Pictures,holiday season,243653803
50 First Dates,Sony Pictures Entertainment (SPE),winter,195871079
50/50,Summit Entertainment,fall,47619301
500 Days of Summer,-,summer,45995751
54,Miramax,summer,31000751
8 Mile,Universal Pictures,holiday season,194055711
8 Seconds,New Line Cinema,winter,40227961
8MM,Sony Pictures Entertainment (SPE),winter,66727233
9,Focus Features,fall,45084849
9 to 5,Twentieth Century Fox,holiday season,397668425
9½ Weeks,Metro-Goldwyn-Mayer (MGM),winter,18389067
A Bad Moms Christmas,STX Entertainment,fall,88427145
A Beautiful Day in the Neighborhood,Sony Pictures Entertainment (SPE),holiday season,73277912
A Beautiful Mind,Universal Pictures,holiday season,261722771
A Bronx Tale,-,fall,36304585
A Bug's Life,Walt Disney Studios Motion Pictures,holiday season,300121074
A Chorus Line,Columbia Pictures,holiday season,20808657
A Christmas Carol,Walt Disney Studios Motion Pictures,holiday season,194382452
A Christmas Story,Metro-Goldwyn-Mayer (MGM),holiday season,40523488
A Cinderella Story,Warner Bros.,summer,83329843
A Civil Action,Walt Disney Studios Motion Pictures,holiday season,102928980
A Dog's Journey,Universal Pictures,summer,27111021
A Dog's Purpose,Universal Pictures,winter,79345602
A Dog's Way Home,Sony Pictures Entertainment (SPE),winter,49985171
A Far Off Place,Walt Disney Studios Motion Pictures,spring,27070579
A Few Good Men,Columbia Pictures,holiday season,301233392
A Fish Called Wanda,Metro-Goldwyn-Mayer (MGM),summer,161858714
A Good Day to Die Hard,Twentieth Century Fox,winter,87553957
A Goofy Movie,Walt Disney Studios Motion Pictures,spring,70343708
A Haunted House,Open Road Films (II),winter,52054187
A Hidden Life,-,holiday season,989534
A History of Violence,New Line Cinema,fall,48946985
A Journal for Jordan,Sony Pictures Entertainment (SPE),holiday season,4452747
A Kiss Before Dying,Universal Pictures,spring,34252772
A Knight's Tale,Sony Pictures Entertainment (SPE),summer,96734190
A League of Their Own,Sony Pictures Entertainment (SPE),summer,233348623
A Low Down Dirty Shame,Walt Disney Studios Motion Pictures,holiday season,54043797
A Madea Christmas,Lionsgate,holiday season,58867708
A Madea Family Funeral,Lionsgate,winter,87175883
A Man Apart,New Line Cinema,spring,44217726
A Midsummer Night's Sex Comedy,Warner Bros.,summer,28774942
A Million Ways to Die in the West,Universal Pictures,summer,55218304
A Night at the Roxbury,Paramount Pictures,fall,56112655
A Nightmare on Elm Street,New Line Cinema,holiday season,71669261
A Nightmare on Elm Street,Warner Bros.,spring,87043515
A Nightmare on Elm Street 2: Freddy's Revenge,New Line Cinema,fall,39205639
A Nightmare on Elm Street 3: Dream Warriors,New Line Cinema,winter,120493767
A Nightmare on Elm Street 4: The Dream Master,New Line Cinema,summer,127868038
A Nightmare on Elm Street: The Dream Child,New Line Cinema,summer,54755846
A Passage to India,Columbia Pictures,holiday season,74972160
A Perfect Murder,Warner Bros.,summer,125130980
A Perfect World,Warner Bros.,holiday season,59143404
A Quiet Place,Paramount Pictures,spring,227509476
A Quiet Place Part II,Paramount Pictures,summer,182482377
A River Runs Through It,Columbia Pictures,fall,68874283
A Room with a View,Cinecom Pictures,spring,55332267
A Series of Unfortunate Events,Paramount Pictures,holiday season,190494094
A Simple Favor,Lionsgate,fall,64793789
A Small Circle of Friends,Metro-Goldwyn-Mayer (MGM),spring,2952026
A Soldier's Story,Columbia Pictures,fall,55746980
A Star Is Born,Warner Bros.,fall,243401040
A Stranger Among Us,Walt Disney Studios Motion Pictures,summer,26654096
A Thin Line Between Love and Hate,New Line Cinema,spring,67449601
A Time to Kill,Warner Bros.,summer,211006053
A Very Brady Sequel,Paramount Pictures,summer,41595058
A Very Harold & Kumar Christmas,Warner Bros.,holiday season,47400156
A View to a Kill,Metro-Goldwyn-Mayer (MGM),summer,142931406
A Walk in the Clouds,Twentieth Century Fox,summer,99516204
A Walk in the Woods,Broad Green Pictures,summer,37727080
A Walk to Remember,Warner Bros.,winter,69765045
