distributor,seasons,count,average_adjusted_gross,top_release,top_gross,top_year,
Columbia Pictures,summer,41,125098311,Ghostbusters,649504791,1984,
Columbia Pictures,holiday season,39,94398449,Tootsie,545635464,1982,
Columbia Pictures,fall,23,58599908,Chariots of Fire,186972727,1981,
Columbia Pictures,spring,17,44459054,Richard Pryor: Live on the Sunset Strip,115070112,1982,
Columbia Pictures,winter,9,49592802,Groundhog Day,148904643,1993,
Lionsgate,summer,32,71078150,John Wick: Chapter 3 - Parabellum,203508667,2019,
Lionsgate,holiday season,28,104033627,The Hunger Games: Catching Fire,551485633,2013,
Lionsgate,fall,26,67098261,Saw II,136584087,2005,
Lionsgate,spring,25,85382735,The Hunger Games,538574113,2012,
Lionsgate,winter,20,63013881,Madea Goes to Jail,128521837,2009,
Metro-Goldwyn-Mayer (MGM),summer,42,82945611,WarGames,243477061,1983,
Metro-Goldwyn-Mayer (MGM),spring,26,59759606,The Birdcage,240677472,1996,
Metro-Goldwyn-Mayer (MGM),holiday season,23,98854813,Rain Man,430865521,1988,
Metro-Goldwyn-Mayer (MGM),fall,23,67821657,No Time to Die,183280087,2021,
Metro-Goldwyn-Mayer (MGM),winter,18,50734336,Hannibal,282307778,2001,
New Line Cinema,holiday season,30,116491807,The Lord of the Rings: The Return of the King,618267643,2003,
New Line Cinema,summer,25,141792065,Rush Hour 2,386740929,2001,
New Line Cinema,spring,25,79252739,Teenage Mutant Ninja Turtles,317874900,1990,
New Line Cinema,fall,18,73282136,Rush Hour,251720869,1998,
New Line Cinema,winter,16,72825496,The Wedding Singer,148454591,1998,
Paramount Pictures,summer,139,156777431,Top Gun: Maverick,761417674,2022,
Paramount Pictures,holiday season,119,93419220,Titanic,1114641480,1997,
Paramount Pictures,spring,56,94848197,Iron Man,452004742,2008,
Paramount Pictures,winter,54,90945797,The Hunt for Red October,286729711,1990,
Paramount Pictures,fall,49,95001608,Crocodile Dundee,463313374,1986,
Sony Pictures Entertainment (SPE),summer,99,141363381,Spider-Man 2,605209036,2004,
Sony Pictures Entertainment (SPE),holiday season,81,106633046,Spider-Man: No Way Home,898919866,2021,
Sony Pictures Entertainment (SPE),fall,43,96485863,Venom,258107997,2018,
Sony Pictures Entertainment (SPE),spring,34,111751398,Spider-Man,682263773,2002,
Sony Pictures Entertainment (SPE),winter,34,95982178,Hitch,281808021,2005,
Twentieth Century Fox,summer,154,146225266,Star Wars: Episode I - The Phantom Menace,783113108,1999,
Twentieth Century Fox,holiday season,135,92522054,Avatar,1046022240,2009,
Twentieth Century Fox,spring,59,111654263,X2: X-Men United,354666995,2003,
Twentieth Century Fox,winter,49,94045895,Deadpool,457469093,2016,
Twentieth Century Fox,fall,47,80584656,The Martian,288442051,2015,
Universal Pictures,summer,201,141384812,E.T. the Extra-Terrestrial,1133783152,1982,
Universal Pictures,holiday season,132,84484671,How the Grinch Stole Christmas,445382807,2000,
Universal Pictures,spring,91,84573028,Furious 7,451848985,2015,
Universal Pictures,fall,72,67938349,Meet the Parents,285228871,2000,
Universal Pictures,winter,66,79215768,The Lorax,282520260,2012,
Walt Disney Studios Motion Pictures,summer,165,179794901,Incredibles 2,736383910,2018,*mistakenly totaled The Lion King (1994 and 2021) together
Walt Disney Studios Motion Pictures,holiday season,147,133995822,Star Wars: Episode VII - The Force Awakens,1193233748,2015,
Walt Disney Studios Motion Pictures,spring,76,160480895,Avengers: Endgame,1021463870,2019,
Walt Disney Studios Motion Pictures,fall,60,81669421,"Monsters, Inc.",406067277,2001,
Walt Disney Studios Motion Pictures,winter,49,96828826,Black Panther,847072074,2018,
Warner Bros.,summer,227,137630564,The Dark Knight,753913394,2008,
Warner Bros.,holiday season,152,106298176,Harry Potter and the Sorcerer's Stone,542473691,2001,
Warner Bros.,fall,92,87214952,It,402802550,2017,
Warner Bros.,spring,87,98641073,Batman v Superman: Dawn of Justice,416253844,2016,
Warner Bros.,winter,71,72060137,The Lego Movie,329933685,2014,
