year,rank,release,gross,adjusted_gross,theaters,total_gross,adjusted_total_gross,release_date,distributor,release_date_formatted,seasons
1980,1,Star Wars: Episode V - The Empire Strikes Back,203359628,782934567,1278,209398025,806182396,May 21,Twentieth Century Fox,1980-05-21,summer
1980,2,9 to 5,103290500,397668425,910,103290500,397668425,Dec 19,Twentieth Century Fox,1980-12-19,holiday season
1980,3,Stir Crazy,101300000,390005000,813,101300000,390005000,Dec 12,Columbia Pictures,1980-12-12,holiday season
1980,4,Kramer vs. Kramer,94448310,363625993,898,106260000,409101000,Dec 19,Columbia Pictures,1980-12-19,holiday season
1980,5,Any Which Way You Can,70687344,272146274,1541,70687344,272146274,Dec 17,Warner Bros.,1980-12-17,holiday season
1980,6,Private Benjamin,69847348,268912289,763,69847348,268912289,Oct 10,Warner Bros.,1980-10-10,fall
1980,7,Coal Miner's Daughter,67182787,258653729,437,67182787,258653729,Mar 7,Universal Pictures,1980-03-07,spring
1980,8,Smokey and the Bandit II,66132626,254610610,1196,66132626,254610610,Aug 15,Universal Pictures,1980-08-15,summer
1980,9,The Blues Brothers,57229890,220335076,594,57229890,220335076,Jun 20,Universal Pictures,1980-06-20,summer
1980,10,Ordinary People,54766923,210852653,6,54766923,210852653,Sep 19,Paramount Pictures,1980-09-19,fall
1980,11,Popeye,49823037,191818692,901,49823037,191818692,Dec 12,Paramount Pictures,1980-12-12,holiday season
1980,12,The Shining,44017374,169466889,10,44017374,169466889,May 23,Warner Bros.,1980-05-23,summer
1980,13,Cheech and Chong's Next Movie,41675194,160449496,814,41675194,160449496,Jul 18,Universal Pictures,1980-07-18,summer
1980,14,Caddyshack,39846344,153408424,656,39846344,153408424,Jul 25,Warner Bros.,1980-07-25,summer
1980,15,Friday the 13th,39754601,153055213,1100,39754601,153055213,May 9,Paramount Pictures,1980-05-09,summer
1980,16,Brubaker,37121708,142918575,594,37121708,142918575,Jun 20,Twentieth Century Fox,1980-06-20,summer
